date,regime,actual_y1y,q10,q50,q74,interval_width,actual_in_band
2024-07-02,Easing,4.260189920644495,3.516198835878579,4.8314556941876585,5.277276289566821,1.7610774536882419,1
2024-07-03,Easing,4.275376917733012,3.5161539024430857,4.831430243608962,5.276670214751361,1.7605163123082752,1
2024-07-05,Easing,4.224655367984382,3.5165741002734388,4.831724943758152,5.276668810581502,1.7600947103080635,1
2024-07-08,Easing,4.228382768592425,3.5176118695599725,4.832150933789174,5.277306128176328,1.759694258616355,1
2024-07-09,Easing,4.27307000405924,3.518025748625959,4.832394908302202,5.277867269556293,1.7598415209303342,1
2024-07-10,Easing,4.274311836946665,3.5181278142225967,4.8325018007327305,5.27826061263809,1.7601327984154933,1
2024-07-11,Easing,4.31945422842693,3.518274725494111,4.832590614476322,5.278636228075415,1.7603615025813042,1
2024-07-12,Easing,4.283737824404051,3.519230614125733,4.832932354315795,5.279681632535558,1.7604510184098254,1
2024-07-15,Easing,4.295152631476073,3.519839058477829,4.83320318357738,5.280811462708483,1.760972404230654,1
2024-07-16,Easing,4.269282596394542,3.5197861388262623,4.832222721973223,5.2808583268775315,1.7610721880512692,1
2024-07-17,Easing,4.237402356056889,3.5200150185133046,4.832716463199949,5.282128222993908,1.7621132044806034,1
2024-07-18,Easing,4.215204622138014,3.52013489951503,4.8329611397979075,5.283214874943663,1.7630799754286333,1
2024-07-19,Easing,4.253614189922693,3.519781136471139,4.832754200264914,5.283587330998805,1.7638061945276662,1
2024-07-22,Easing,4.275765259546748,3.5191474170615775,4.832046498655899,5.283240150001128,1.7640927329395506,1
2024-07-23,Easing,4.25808044866358,3.518571180855626,4.831228569712939,5.282663913795176,1.7640927329395497,1
2024-07-24,Easing,4.266946249876417,3.518318254759745,4.830307960849029,5.282190357510175,1.76387210275043,1
2024-07-25,Easing,4.21578054783655,3.517662331914286,4.828148172084412,5.2808516570707,1.7631893251564144,1
2024-07-26,Easing,4.260044860054085,3.516953401656644,4.827344635882509,5.280648227962356,1.763694826305712,1
2024-07-29,Easing,4.255270343743676,3.516890389534214,4.8274313433713125,5.281515127329152,1.7646247377949384,1
