date,cusip,purchase_price,face_value,maturity_date,days_to_maturity,tau_remaining,current_yield,purchase_yield_pct,rate_change_bps,implied_price,unrealised_pnl,modified_duration,dv01,year,month_number,month_short,period_label
2011-09-02,912797UE5,96.439575,100.0,2027-04-17,5706,15.62217659137577,0.009930843627217367,3.6253539569941333,-263.22695942723965,85.62940950648398,-10.810165493516024,15.62217659137577,0.13377177567255238,2011,9,Sep,2011-09
2011-09-06,912797UE5,96.439575,100.0,2027-04-17,5702,15.611225188227241,0.009839794041676399,3.6253539569941333,-264.13745528264934,85.7605358366042,-10.6790391633958,15.611225188227241,0.13388270372082606,2011,9,Sep,2011-09
2011-09-07,912797UE5,96.439575,100.0,2027-04-17,5701,15.60848733744011,0.010144742171837282,3.6253539569941333,-261.0879739810405,85.35560401036383,-11.083970989636171,15.60848733744011,0.13322718643753162,2011,9,Sep,2011-09
2011-09-08,912797UE5,96.439575,100.0,2027-04-17,5700,15.605749486652977,0.009946280794862476,3.6253539569941333,-263.07258775078856,85.62275006119368,-10.81682493880632,15.605749486652977,0.13362071878132895,2011,9,Sep,2011-09
2011-09-09,912797UE5,96.439575,100.0,2027-04-17,5699,15.603011635865846,0.00956036921044936,3.6253539569941333,-266.9317035949197,86.14221850640874,-10.297356493591266,15.603011635865846,0.1344078037694794,2011,9,Sep,2011-09
2011-09-12,912797UE5,96.439575,100.0,2027-04-17,5696,15.594798083504449,0.009701365300440322,3.6253539569941333,-265.5217426950101,85.95976629391139,-10.479808706088619,15.594798083504449,0.13405251986587796,2011,9,Sep,2011-09
2011-09-13,912797UE5,96.439575,100.0,2027-04-17,5695,15.592060232717317,0.009945633433584213,3.6253539569941333,-263.0790613635712,85.63527337773854,-10.804301622261463,15.592060232717317,0.1335230340550913,2011,9,Sep,2011-09
2011-09-14,912797UE5,96.439575,100.0,2027-04-17,5694,15.589322381930184,0.00996668193034385,3.6253539569941333,-262.86857639597486,85.60950941701684,-10.830065582983167,15.589322381930184,0.13345942412607636,2011,9,Sep,2011-09
2011-09-15,912797UE5,96.439575,100.0,2027-04-17,5693,15.586584531143053,0.01022408035720475,3.6253539569941333,-260.29459212736583,85.26906207722733,-11.170512922772673,15.586584531143053,0.13290534439579885,2011,9,Sep,2011-09
2011-09-16,912797UE5,96.439575,100.0,2027-04-17,5692,15.58384668035592,0.01010022980630508,3.6253539569941333,-261.5330976363625,85.43618758465918,-11.003387415340825,15.58384668035592,0.13314244482734566,2011,9,Sep,2011-09
2011-09-19,912797UE5,96.439575,100.0,2027-04-17,5689,15.575633127994525,0.009564077658940004,3.6253539569941333,-266.89461911001325,86.15979220961398,-10.279782790386022,15.575633127994525,0.13419933138411883,2011,9,Sep,2011-09
2011-09-20,912797UE5,96.439575,100.0,2027-04-17,5688,15.572895277207392,0.00952789930177094,3.6253539569941333,-267.2564026817039,86.21060586255992,-10.228969137440089,15.572895277207392,0.13425487368822472,2011,9,Sep,2011-09
2011-09-21,912797UE5,96.439575,100.0,2027-04-17,5687,15.570157426420261,0.009319516276914805,3.6253539569941333,-269.3402329302653,86.49303153627835,-9.946543463721653,15.570157426420261,0.13467101173081863,2011,9,Sep,2011-09
2011-09-22,912797UE5,96.439575,100.0,2027-04-17,5686,15.567419575633128,0.008491538563940663,3.6253539569941333,-277.6200100600067,87.61733288208148,-8.82224211791852,15.567419575633128,0.13639757830732796,2011,9,Sep,2011-09
2011-09-23,912797UE5,96.439575,100.0,2027-04-17,5685,15.564681724845997,0.009052314775937877,3.6253539569941333,-272.01224794003457,86.85792932752057,-9.58164567247944,15.564681724845997,0.13519160252620246,2011,9,Sep,2011-09
2011-09-26,912797UE5,96.439575,100.0,2027-04-17,5682,15.5564681724846,0.009442827354087089,3.6253539569941333,-268.10712215854244,86.33828639841539,-10.101288601584614,15.5564681724846,0.1343118804423809,2011,9,Sep,2011-09
